PC1,PC2,PC3,domain,difficulty_level
-1.028492231679089,-1.4171651790767483,-0.5924871201798004,AI & ML,63
-0.6803360455888066,-0.04804887671773572,1.9682747071266817,AI & ML,31
-1.3353337059145414,-0.0885210199604905,2.1828331227713766,AI & ML,30
-2.6455703162922846,1.2455823178893246,1.579642153019083,AI & ML,66
-1.097722389170239,-0.938965134631071,0.5413070472693512,AI & ML,69
-0.9791594729217874,0.020124098835938707,2.3784829647294816,AI & ML,59
-1.3006275627291288,0.17146824814928174,1.800906927385964,AI & ML,35
-0.8799071854791668,0.406536626681078,1.4918179133881524,AI & ML,63
-0.8169902823846699,-0.2235684870926653,2.2309067866063312,AI & ML,61
-1.445592658088422,0.12429632227546168,2.424577881673549,AI & ML,51
-1.0565262747555135,-0.6735661858674092,1.43328605309152,AI & ML,72
-1.5028245070888804,-1.0992861041301645,-0.27637476876124156,AI & ML,28
-3.7030700438855932,1.7862340176674942,-1.491297579823988,AI & ML,51
-3.3327837998854624,0.3722600434012562,-2.4509800060199165,AI & ML,51
-2.8192201072871046,1.1305930754235214,-0.42449515837018265,AI & ML,73
-0.9184978781511537,-1.6300082135375298,-0.8341205445404105,AI & ML,69
-0.4839902473100802,-0.14245930278861038,0.5020806608781698,AI & ML,75
-0.6193911165436002,0.7394453994353544,1.9115048098342609,AI & ML,72
-0.5535216062031607,-0.7002439194302457,-0.7496388156298371,AI & ML,19
-0.8052885103776394,0.0825036250166352,-0.5268417814389075,AI & ML,58
-0.8339235251195929,-0.545412102446609,-1.1187491937483947,AI & ML,47
-0.5743810138710849,-0.8675793044227362,-1.125154658582239,AI & ML,44
-0.9297275985817632,-0.5380087420541004,1.0965824750356032,AI & ML,67
-0.8101331143091001,-0.13439242504731697,0.5184739500686213,AI & ML,67
-0.7715190142596263,-1.3646266506924196,0.3934192451726101,AI & ML,63
-1.8396948449283232,0.07908721655353375,-0.9774242964225405,AI & ML,64
-0.72184763197563,-0.8282122435260556,0.04994343475107555,AI & ML,51
-3.227281744022732,2.0164885835779214,-0.40855700112427507,AI & ML,71
-0.7105262902337691,-0.6154404162146955,0.5731246908535141,AI & ML,69
-2.802321788547522,1.801799986683152,0.31001727509738813,AI & ML,55
-1.089549234001538,-1.1514061211066389,-0.03755405340316669,AI & ML,68
-3.2555765443267934,1.567935915858128,0.41902173659156655,AI & ML,55
-1.1653817899196681,-0.24896643882238156,-0.6454729588428432,AI & ML,66
-2.651523521000492,1.4999682029678536,0.0331425067431281,AI & ML,54
-0.09977106836535209,-0.6088808617460979,-0.22336269912858228,AI & ML,65
-0.5396153344245446,-0.5886869961019187,-0.4992949203282359,AI & ML,61
-3.1806989908794727,1.82144365773885,-0.7339409443086464,AI & ML,63
-2.1266970836116204,1.1990965335131027,-0.08205467195067334,AI & ML,55
-2.307163715672787,0.8931195517729713,-1.9199906702975833,AI & ML,20
-3.227281744022732,2.0164885835779214,-0.40855700112427507,AI & ML,71
-2.1645677659792,1.4445188327198812,1.2997557124534536,AI & ML,64
-1.173845692392964,1.0364265643366044,2.07866506886068,AI & ML,62
-0.5796919908625553,-0.42391872078878967,-0.272416601203442,AI & ML,45
-0.7883861878082131,-0.8331779577303996,1.8390716597162822,AI & ML,74
-0.3538973021324002,-0.9854251447406241,-0.1461724062218242,AI & ML,69
-3.3901892372119953,1.0454965350877328,-2.435269460781068,AI & ML,53
-3.650453236282458,1.4806502235404453,-2.1208976853141692,AI & ML,58
-0.7939700345815944,0.05180469254777259,0.9558208990198839,AI & ML,66
0.7152291128827333,-0.20116652600348056,1.772605516267066,AI & ML,52
-1.1427914770401704,-0.2408049395525326,1.2193936454739511,AI & ML,13
-1.713028248512265,0.71009647673204,-0.03472365116431461,AI & ML,15
-0.6677217276485625,-0.881409712694634,0.07334885121068821,AI & ML,38
-1.090723129206133,-0.4623620573607896,0.8079044810872703,AI & ML,57
-0.5830284343296257,-0.22306781663381156,0.903733598356864,AI & ML,48
-1.7904431893341337,-0.045141049246691274,-1.1279495906357049,AI & ML,56
-1.1469998035939233,-0.9138530122938423,-0.5218769629429627,AI & ML,21
-2.5708640206365074,1.6590593101556084,-1.0613323702633857,AI & ML,35
-0.29861445940416204,-0.7023854260065878,1.4269909878651899,AI & ML,26
-2.360498092611542,0.447910865684131,0.2520369598689421,AI & ML,72
-0.6263457476357276,-0.04573571161284165,1.1718788431379759,AI & ML,68
-1.3014150457216216,0.0032319221887835187,1.3654779407401736,AI & ML,53
-1.1181552770919914,-0.4078626684421512,1.9884597989506476,AI & ML,55
-0.8758631799753946,-0.5912316011860396,1.1200979162186415,AI & ML,67
-1.2528049448015273,-0.8913004364886586,-0.787597441285588,AI & ML,51
-0.5579620670261954,-1.5837214111871125,-0.4796268480249784,AI & ML,69
-2.792026086493959,0.6859839650685068,-2.28785952911433,AI & ML,60
-0.9041482328851279,-1.0938994016162429,-1.0677797287256392,AI & ML,62
-1.1982871337317398,-0.6081401274308132,0.10716374148305477,AI & ML,18
-0.7725700435016736,-1.1185076765650126,0.07959436284303954,AI & ML,50
-1.776240744827528,-0.18943526607461392,-0.5933907154711021,AI & ML,67
-0.8112614075686904,-0.36720059042952885,0.8751143510324293,AI & ML,74
